,LOAD,date,comp,n,sqft,SD,month
4,2024-11-12_5,11/12/2024,5,14,82.6,5.9,11
1,2024-11-12_1,11/12/2024,1,16,82.6,5.16,11
2,2024-11-12_2,11/12/2024,2,24,114.6,4.78,11
3,2024-11-12_3,11/12/2024,3,30,96.2,3.21,11
5,2024-11-12_6,11/12/2024,6,30,114.6,3.82,11
7,2024-11-12_8,11/12/2024,8,30,116,3.87,11
6,2024-11-12_7,11/12/2024,7,31,114.6,3.7,11
8,2024-11-14_1,11/14/2024,1,17,82.6,4.86,11
11,2024-11-14_5,11/14/2024,5,17,82.6,4.86,11
9,2024-11-14_2,11/14/2024,2,30,114.6,3.82,11
10,2024-11-14_3,11/14/2024,3,30,96.2,3.21,11
12,2024-11-14_6,11/14/2024,6,30,114.6,3.82,11
13,2024-11-14_7,11/14/2024,7,30,114.6,3.82,11
14,2024-11-14_8,11/14/2024,8,30,116,3.87,11
19,2024-11-16_5,11/16/2024,5,19,82.6,4.35,11
15,2024-11-16_1,11/16/2024,1,20,82.6,4.13,11
18,2024-11-16_4,11/16/2024,4,21,121.5,5.79,11
16,2024-11-16_2,11/16/2024,2,29,114.6,3.95,11
17,2024-11-16_3,11/16/2024,3,30,96.2,3.21,11
20,2024-11-16_6,11/16/2024,6,30,114.6,3.82,11
21,2024-11-16_7,11/16/2024,7,31,114.6,3.7,11
22,2024-11-16_8,11/16/2024,8,31,116,3.74,11
23,2024-11-18_1,11/18/2024,1,18,82.6,4.59,11
27,2024-11-18_5,11/18/2024,5,19,82.6,4.35,11
25,2024-11-18_3,11/18/2024,3,30,96.2,3.21,11
26,2024-11-18_4,11/18/2024,4,30,121.5,4.05,11
28,2024-11-18_6,11/18/2024,6,30,114.6,3.82,11
24,2024-11-18_2,11/18/2024,2,31,114.6,3.7,11
30,2024-11-18_8,11/18/2024,8,31,116,3.74,11
29,2024-11-18_7,11/18/2024,7,32,114.6,3.58,11
35,2024-11-20_4,11/20/2024,4,14,121.5,8.68,11
32,2024-11-20_1,11/20/2024,1,18,82.6,4.59,11
36,2024-11-20_5,11/20/2024,5,20,82.6,4.13,11
34,2024-11-20_3,11/20/2024,3,29,96.2,3.32,11
37,2024-11-20_6,11/20/2024,6,30,114.6,3.82,11
