,LOADfull,n,real?
1,11/12/2024,34,0
2,11/14/2024,36,0
3,11/16/2024,46,0
4,11/18/2024,30,0
5,11/20/2024,35,0
6,11/22/2024,34,0
7,11/24/2024,48,0
8,11/26/2024,25,0
9,11/28/2024,44,0
10,11/30/2024,53,0
11,12/2/2024,28,0
12,12/4/2024,34,0
13,12/6/2024,39,0
14,12/8/2024,48,0
15,12/10/2024,23,0
16,12/12/2024,40,0
17,12/14/2024,40,0
18,12/16/2024,29,0
19,12/18/2024,33,0
20,12/20/2024,37,0
21,12/22/2024,42,0
22,12/24/2024,28,0
23,12/26/2024,32,0
24,12/28/2024,42,0
25,12/30/2024,29,0
26,1/1/2025,25,0
27,1/3/2025,42,0
28,1/5/2025,32,0
29,1/7/2025,30,0
30,1/9/2025,42,0
31,1/11/2025,43,0
32,1/13/2025,25,0
33,1/15/2025,17,0
34,1/17/2025,42,0
35,1/19/2025,40,0
36,1/21/2025,50,0
37,1/23/2025,56,0
38,1/25/2025,56,0
39,1/27/2025,62,0
40,1/29/2025,36,0
41,1/31/2025,85,0
42,2/2/2025,84,0
43,2/4/2025,83,0
44,2/6/2025,98,0
45,2/8/2025,133,1
46,2/10/2025,147,1
47,2/12/2025,142,1
48,2/14/2025,161,1
49,2/16/2025,201,1
50,2/18/2025,182,1
51,2/20/2025,201,1
52,2/22/2025,187,1
53,2/24/2025,199,1
54,2/26/2025,194,1
55,2/28/2025,219,1
56,3/2/2025,209,1
57,3/4/2025,200,1
58,3/6/2025,219,1
59,3/8/2025,221,1
60,3/10/2025,185,1
61,3/12/2025,178,1
62,3/14/2025,221,1
63,3/16/2025,204,1
64,3/18/2025,218,1
65,3/20/2025,194,1
66,3/22/2025,209,1
67,3/24/2025,156,1
68,3/26/2025,182,1
69,3/28/2025,185,1
70,3/30/2025,211,1
71,4/1/2025,175,1
72,4/3/2025,170,1
73,4/5/2025,209,1
74,4/7/2025,164,1
75,4/9/2025,198,1
76,4/11/2025,214,1
77,4/13/2025,197,1
78,4/15/2025,182,1
79,4/17/2025,210,1
80,4/19/2025,210,1
81,4/21/2025,204,1
82,4/23/2025,202,1
83,4/25/2025,178,1
84,4/27/2025,211,1
85,4/29/2025,164,1
86,5/1/2025,185,1
87,5/3/2025,176,1
88,5/5/2025,159,1
89,5/7/2025,159,1
90,5/9/2025,180,1
91,5/11/2025,178,1
92,5/13/2025,159,1
93,5/15/2025,194,1
94,5/17/2025,219,1
95,5/19/2025,201,1
96,5/20/2025,1,0
97,5/21/2025,216,1
98,5/23/2025,200,1
99,5/25/2025,170,1
100,5/27/2025,155,1
101,5/29/2025,201,1
102,5/31/2025,222,1
103,6/2/2025,186,1
104,6/4/2025,204,1
105,6/6/2025,213,1
106,6/8/2025,218,1
107,6/10/2025,225,1
108,6/12/2025,218,1
109,6/14/2025,217,1
110,6/16/2025,230,1
111,6/18/2025,240,1
112,6/20/2025,214,1
113,6/22/2025,209,1
114,6/24/2025,216,1
115,6/25/2025,82,1
116,6/26/2025,213,1
117,6/28/2025,214,1
118,6/30/2025,216,1
119,7/1/2025,1,0
120,7/2/2025,296,1
121,7/4/2025,209,1
122,7/6/2025,209,1
123,7/7/2025,206,1
124,7/8/2025,120,1
125,7/10/2025,211,1
126,7/11/2025,137,1
127,7/12/2025,139,1
128,7/14/2025,214,1
129,7/15/2025,168,1
130,7/16/2025,124,1
131,7/17/2025,123,1
132,7/18/2025,146,1
133,7/20/2025,214,1
134,7/21/2025,106,1
135,7/22/2025,146,1
136,7/23/2025,146,1
137,7/24/2025,170,1
138,7/25/2025,165,1
139,7/26/2025,161,1
140,7/28/2025,217,1
141,7/29/2025,163,1
142,7/30/2025,139,1
143,7/31/2025,139,1
144,8/1/2025,154,1
145,8/3/2025,216,1
146,8/4/2025,173,1
147,8/5/2025,129,1
148,8/6/2025,147,1
149,8/7/2025,136,1
