"","DIA1","PN1a","B1","N1","IM1","I1","L1","Sep1","DIED","n"
"1",0,0,0,0,0,0,0,0,0,10613
"2",0,0,0,0,0,0,0,0,1,286
"3",0,0,0,0,0,0,0,1,0,1485
"4",0,0,0,0,0,0,0,1,1,94
"5",0,0,0,0,0,0,1,0,0,114
"6",0,0,0,0,0,0,1,0,1,12
"7",0,0,0,0,0,0,1,1,0,37
"8",0,0,0,0,0,0,1,1,1,4
"9",0,0,0,0,0,1,0,0,0,77
"10",0,0,0,0,0,1,0,0,1,40
"11",0,0,0,0,0,1,0,1,0,16
"12",0,0,0,0,0,1,0,1,1,15
"13",0,0,0,0,0,1,1,0,0,7
"14",0,0,0,0,0,1,1,0,1,8
"15",0,0,0,0,0,1,1,1,0,1
"16",0,0,0,0,0,1,1,1,1,2
"17",0,0,0,0,1,0,0,0,0,227
"18",0,0,0,0,1,0,0,0,1,5
"19",0,0,0,0,1,0,0,1,0,13
"20",0,0,0,0,1,0,1,0,0,29
"21",0,0,0,0,1,0,1,0,1,3
"22",0,0,0,0,1,1,0,0,1,1
"23",0,0,0,0,1,1,1,0,0,3
"24",0,0,0,1,0,0,0,0,0,209
"25",0,0,0,1,0,0,0,0,1,13
"26",0,0,0,1,0,0,0,1,0,194
"27",0,0,0,1,0,0,0,1,1,16
"28",0,0,0,1,0,0,1,0,0,4
"29",0,0,0,1,0,0,1,0,1,1
"30",0,0,0,1,0,0,1,1,0,3
"31",0,0,0,1,0,1,0,1,0,6
"32",0,0,0,1,0,1,0,1,1,7
"33",0,0,0,1,1,0,0,0,0,2
"34",0,0,0,1,1,0,0,1,0,9
"35",0,0,0,1,1,0,1,0,0,1
"36",0,0,0,1,1,0,1,1,0,4
"37",0,0,0,1,1,1,1,1,0,2
"38",0,0,0,1,1,1,1,1,1,1
"39",0,0,1,0,0,0,0,0,0,275
"40",0,0,1,0,0,0,0,0,1,95
"41",0,0,1,0,0,0,0,1,0,41
"42",0,0,1,0,0,0,0,1,1,15
"43",0,0,1,0,0,0,1,0,0,2
"44",0,0,1,0,0,0,1,0,1,2
"45",0,0,1,0,0,0,1,1,0,1
"46",0,0,1,0,0,1,0,0,0,2
"47",0,0,1,0,0,1,1,0,0,1
"48",0,0,1,0,1,0,0,0,0,3
"49",0,0,1,0,1,0,0,0,1,1
"50",0,0,1,0,1,0,0,1,1,1
"51",0,0,1,1,0,0,0,0,0,9
"52",0,0,1,1,0,0,0,0,1,4
"53",0,0,1,1,0,0,0,1,0,3
"54",0,0,1,1,0,0,0,1,1,3
"55",0,0,1,1,0,1,1,0,0,1
"56",0,0,1,1,1,0,0,0,1,1
"57",0,0,1,1,1,0,0,1,0,1
"58",0,1,0,0,0,0,0,0,0,11938
"59",0,1,0,0,0,0,0,0,1,304
"60",0,1,0,0,0,0,0,1,0,1793
"61",0,1,0,0,0,0,0,1,1,76
"62",0,1,0,0,0,0,1,0,0,133
"63",0,1,0,0,0,0,1,0,1,1
"64",0,1,0,0,0,0,1,1,0,42
"65",0,1,0,0,0,0,1,1,1,3
"66",0,1,0,0,0,1,0,0,0,104
"67",0,1,0,0,0,1,0,0,1,14
"68",0,1,0,0,0,1,0,1,0,22
"69",0,1,0,0,0,1,0,1,1,7
"70",0,1,0,0,0,1,1,0,0,4
"71",0,1,0,0,0,1,1,1,0,2
"72",0,1,0,0,0,1,1,1,1,1
"73",0,1,0,0,1,0,0,0,0,250
"74",0,1,0,0,1,0,0,0,1,8
"75",0,1,0,0,1,0,0,1,0,23
"76",0,1,0,0,1,0,0,1,1,2
"77",0,1,0,0,1,0,1,0,0,11
"78",0,1,0,0,1,0,1,1,0,2
