"","LOADfull","n"
"1","2024-11-12",34
"2","2024-11-14",36
"3","2024-11-16",46
"4","2024-11-18",30
"5","2024-11-20",35
"6","2024-11-22",34
"7","2024-11-24",48
"8","2024-11-26",25
"9","2024-11-28",44
"10","2024-11-30",53
"11","2024-12-02",28
"12","2024-12-04",34
"13","2024-12-06",39
"14","2024-12-08",48
"15","2024-12-10",23
"16","2024-12-12",40
"17","2024-12-14",40
"18","2024-12-16",29
"19","2024-12-18",33
"20","2024-12-20",37
"21","2024-12-22",42
"22","2024-12-24",28
"23","2024-12-26",32
"24","2024-12-28",42
"25","2024-12-30",29
"26","2025-01-01",25
"27","2025-01-03",42
"28","2025-01-05",32
"29","2025-01-07",30
"30","2025-01-09",42
"31","2025-01-11",43
"32","2025-01-13",25
"33","2025-01-15",17
"34","2025-01-17",42
"35","2025-01-19",40
"36","2025-01-21",50
"37","2025-01-23",56
"38","2025-01-25",56
"39","2025-01-27",62
"40","2025-01-29",36
"41","2025-01-31",85
"42","2025-02-02",84
"43","2025-02-04",83
"44","2025-02-06",98
"45","2025-02-08",133
"46","2025-02-10",147
"47","2025-02-12",142
"48","2025-02-14",161
"49","2025-02-16",201
"50","2025-02-18",182
"51","2025-02-20",201
"52","2025-02-22",187
"53","2025-02-24",199
"54","2025-02-26",194
"55","2025-02-28",219
"56","2025-03-02",209
"57","2025-03-04",200
"58","2025-03-06",219
"59","2025-03-08",221
"60","2025-03-10",185
"61","2025-03-12",178
"62","2025-03-14",221
"63","2025-03-16",204
"64","2025-03-18",218
"65","2025-03-20",194
"66","2025-03-22",209
"67","2025-03-24",156
"68","2025-03-26",182
"69","2025-03-28",185
"70","2025-03-30",211
"71","2025-04-01",175
"72","2025-04-03",170
"73","2025-04-05",209
"74","2025-04-07",164
"75","2025-04-09",198
"76","2025-04-11",214
"77","2025-04-13",197
"78","2025-04-15",182
"79","2025-04-17",210
"80","2025-04-19",210
"81","2025-04-21",204
"82","2025-04-23",202
"83","2025-04-25",178
"84","2025-04-27",211
"85","2025-04-29",164
"86","2025-05-01",185
"87","2025-05-03",176
"88","2025-05-05",159
"89","2025-05-07",159
"90","2025-05-09",180
"91","2025-05-11",178
"92","2025-05-13",159
"93","2025-05-15",194
"94","2025-05-17",219
"95","2025-05-19",201
"96","2025-05-20",1
"97","2025-05-21",216
"98","2025-05-23",200
"99","2025-05-25",170
"100","2025-05-27",155
"101","2025-05-29",201
"102","2025-05-31",222
"103","2025-06-02",186
"104","2025-06-04",204
"105","2025-06-06",213
"106","2025-06-08",218
"107","2025-06-10",225
"108","2025-06-12",218
"109","2025-06-14",217
"110","2025-06-16",230
"111","2025-06-18",240
"112","2025-06-20",214
"113","2025-06-22",209
"114","2025-06-24",216
"115","2025-06-25",82
"116","2025-06-26",213
"117","2025-06-28",214
"118","2025-06-30",216
"119","2025-07-01",1
"120","2025-07-02",296
"121","2025-07-04",209
"122","2025-07-06",209
"123","2025-07-07",206
"124","2025-07-08",120
"125","2025-07-10",211
"126","2025-07-11",137
"127","2025-07-12",139
"128","2025-07-14",214
"129","2025-07-15",168
"130","2025-07-16",124
"131","2025-07-17",123
"132","2025-07-18",146
"133","2025-07-20",214
"134","2025-07-21",106
"135","2025-07-22",146
"136","2025-07-23",146
"137","2025-07-24",170
"138","2025-07-25",165
"139","2025-07-26",161
"140","2025-07-28",217
"141","2025-07-29",163
"142","2025-07-30",139
"143","2025-07-31",139
"144","2025-08-01",154
"145","2025-08-03",216
"146","2025-08-04",173
"147","2025-08-05",129
"148","2025-08-06",147
"149","2025-08-07",136
